Insert,,,,,,,,,,,
Record Count,RunTime,Throughput,GC Young (%),GC Old (%),Insert Ops,Insert Latency,,,,,
100,930,107.5268817,0.64516129,0,100,1913.45,,,,,
1000,1411,708.7172218,0.779588944,0,1000,962.599,,,,,
10000,2971,3365.870077,0.43756311,0,10000,229.522,,,,,
100000,15853,6307.95433,0.264934082,0,100000,152.28444,,,,,
1000000,151356,6606.93993,0.165834192,0,1000000,149.482999,,,,,
,,,,,,,,,,,
A,,,,,,,,,,,
Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Read Ops,Read Latency,Update Ops,Update Latency,,
100,100,704,142.0454545,0.568181818,0,60,2676.916667,40,1493.85,,
1000,1000,899,1112.347052,0.778642937,0,501,536.2295409,499,405.7955912,,
10000,10000,3642,2745.744097,0.384404174,0,4998,308.7591036,5002,318.980008,,
100000,100000,20571,4861.212386,0.252783044,0,49920,188.9096755,50080,206.8323083,,
1000000,1000000,172149,5808.921341,0.186466375,0,500380,161.1277129,499620,178.9059105,,
,,,,,,,,,,,
B,,,,,,,,,,,
Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Read Ops,Read Latency,Update Ops,Update Latency,,
100,100,431,232.0185615,0.928074246,0,94,1140.297872,6,1537.666667,,
1000,1000,812,1231.527094,0.985221675,0,952,459.3014706,48,609.8333333,,
10000,10000,3969,2519.526329,0.428319476,0,9472,326.0467694,528,515.0681818,,
100000,100000,23214,4307.745326,0.336004135,0,94977,220.0889268,5023,294.9942266,,
1000000,1000000,233894,4275.441012,0.229163638,0,950098,228.803215,49902,278.8054988,,
,,,,,,,,,,,
C,,,,,,,,,,,
Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Read Ops,Read Latency,,,,
100,100,712,140.4494382,0.702247191,0,100,2081.93,,,,
1000,1000,1191,839.6305626,0.755667506,0,1000,646.552,,,,
10000,10000,4242,2357.378595,0.424328147,0,10000,364.558,,,,
100000,100000,24429,4093.495436,0.307012158,0,100000,235.79703,,,,
1000000,1000000,234931,4256.56895,0.231983008,0,1000000,232.400088,,,,
,,,,,,,,,,,
D,,,,,,,,,,,
Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Read Ops,Read Latency,Insert Ops,Insert Latency,,
100,100,497,201.2072435,0.60362173,0,95,1496.894737,5,1984.2,,
1000,1000,986,1014.198783,0.709939148,0,947,553.3495248,53,796.2075472,,
10000,10000,2742,3646.973012,0.510576222,0,9517,227.2057371,483,356.3747412,,
100000,100000,15842,6312.334301,0.422926398,0,95002,150.8646239,4998,184.3783513,,
1000000,1000000,145599,6868.17904,0.299452606,0,949933,143.0755685,50067,158.3355703,,
,,,,,,,,,,,
E,,,,,,,,,,,
Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Insert Ops,Insert Latency,Scan Ops,Scan Latency,,
100,100,603,165.8374793,1.824212272,0,7,1982.142857,93,2366.526882,,
1000,1000,1163,859.8452279,1.461736887,0,48,694.2708333,952,794.0640756,,
10000,10000,5825,1716.738197,1.184549356,0,481,401.004158,9519,547.1180796,,
100000,100000,42109,2374.789237,0.992661901,0,4986,217.7549138,95014,425.1507778,,
1000000,1000000,451748,2213.623525,0.847596448,0,50003,200.4679319,949997,462.6601084,,
,,,,,,,,,,,
F,,,,,,,,,,,
Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Read Ops,Read Latency,Read-Modify-Write Ops,Read-Modify-Write Latency,Update Ops,Update Latency
100,100,497,201.2072435,0.60362173,0,100,1129.11,51,2658.372549,51,803.254902
1000,1000,973,1027.749229,0.71942446,0,1000,409.632,531,908.2090395,531,418.3841808
10000,10000,3564,2805.836139,0.448933782,0,10000,202.4962,4987,441.3779828,4987,228.3424905
100000,100000,24262,4121.67175,0.313247053,0,100000,152.78952,50076,319.8580158,50076,166.5738677
1000000,1000000,264357,3782.76346,0.186111962,0,1000000,168.83698,500306,355.285941,500306,185.6604978
