Insert Only,,,,,,,,,,,
Record Count,RunTime (ms),Throughput (ops/sec),GC Young (%),GC Old (%),Insert Ops,Insert Latency (us),,,,,
100,1126,88.80994671,0.26642984,0,100,1009.63,,,,,
1000,1399,714.7962831,0.214438885,0,1000,338.633,,,,,
10000,4389,2278.423331,0.091136933,0,10000,293.5944,,,,,
100000,20987,4764.854434,0.233477867,0,100000,192.87209,,,,,
1000000,190097,5260.472285,0.048396345,0,1000000,186.544213,,,,,
,,,,,,,,,,,
Workload A,,,,,,,,,,,
Record Count,Total Ops,RunTime (ms),Throughput (ops/sec),GC Young (%),GC Old (%),Read Ops,Read Latency (us),Update Ops,Update Latency (us),,
100,1000,1455,687.2852234,0.274914089,0,491,440.3706721,509,378.5756385,,
1000,1000,1457,686.3417982,0.274536719,0,501,371.3632735,499,412.7735471,,
10000,1000,2101,475.9638267,0.142789148,0,472,696.0169492,528,586.6609848,,
100000,1000,2198,454.9590537,0.181983621,0,512,627.0292969,488,745.1004098,,
1000000,1000,2589,386.2495172,0.193124759,0,500,827.438,500,947.296,,
,,,,,,,,,,,
Workload B,,,,,,,,,,,
Record Count,Total Ops,RunTime (ms),Throughput (ops/sec),GC Young (%),GC Old (%),Read Ops,Read Latency (us),Update Ops,Update Latency (us),,
100,1000,2132,469.043152,0.187617261,0,938,567.3635394,62,796.2903226,,
1000,1000,2092,478.0114723,0.191204589,0,947,592.8394931,53,876.5660377,,
10000,1000,2189,456.8296026,0.182731841,0,954,560.5041929,46,873.7608696,,
100000,1000,2057,486.1448712,0.194457948,0,944,578.4226695,56,878.0357143,,
1000000,1000,2096,477.0992366,0.190839695,0,948,657.6265823,52,938.5576923,,
,,,,,,,,,,,
Workload C,,,,,,,,,,,
Record Count,Total Ops,RunTime (ms),Throughput (ops/sec),GC Young (%),GC Old (%),Read Ops,Read Latency (us),,,,
100,1000,2267,441.1116012,0.308778121,0,1000,751.498,,,,
1000,1000,1929,518.4033178,0.207361327,0,1000,715.502,,,,
10000,1000,2093,477.7830865,0.191113235,0,1000,611.859,,,,
100000,1000,2064,484.496124,0.19379845,0,1000,657.263,,,,
1000000,1000,1587,630.1197227,0.189035917,0,1000,527.975,,,,
,,,,,,,,,,,
Workload D,,,,,,,,,,,
Record Count,Total Ops,RunTime (ms),Throughput (ops/sec),GC Young (%),GC Old (%),Read Ops,Read Latency (us),Insert Ops,Insert Latency (us),,
100,1000,1562,640.2048656,0.256081946,0,954,382.7054507,46,535.9347826,,
1000,1000,1435,696.8641115,0.209059233,0,953,388.6967471,47,584.5957447,,
10000,1000,1458,685.8710562,0.205761317,0,954,384.2672956,46,532.4130435,,
100000,1000,1746,572.7376861,0.229095074,0,943,549.4220573,57,759.7719298,,
1000000,1000,1455,687.2852234,0.274914089,0,941,397.4303932,59,507.3728814,,
,,,,,,,,,,,
Workload E,,,,,,,,,,,
Record Count,Total Ops,RunTime (ms),Throughput (ops/sec),GC Young (%),GC Old (%),Insert Ops,Insert Latency (us),Scan Ops,Scan Latency (us),,
100,1000,1810,552.4861878,0.607734807,0,42,676.6190476,958,699.9206681,,
1000,1000,3528,283.446712,0.48185941,0,54,1117.351852,946,1595.012685,,
10000,1000,3559,280.9778028,0.393368924,0,44,1361.840909,956,1740.283473,,
100000,1000,3468,288.3506344,0.432525952,0,47,1116.042553,953,1737.072403,,
1000000,1000,4112,243.1906615,0.291828794,0,44,1250.522727,956,2460.574268,,
,,,,,,,,,,,
Workload F,,,,,,,,,,,
Record Count,Total Ops,RunTime (ms),Throughput (ops/sec),GC Young (%),GC Old (%),Read Ops,Read Latency (us),Read-Modify-Write Ops,Read-Modify-Write Latency (us),Update Ops,Update Latency (us)
100,1000,3146,317.8639542,0.190718373,0,1000,936.445,496,2009.534274,496,900.8467742
1000,1000,2244,445.6327986,0.222816399,0,1000,575.476,504,1293.001984,504,595.8134921
10000,1000,2814,355.366027,0.177683014,0,1000,820.362,505,1806.530693,505,838.5287129
100000,1000,1706,586.1664713,0.234466589,0,1000,400.523,501,871.1736527,501,399.7325349
1000000,1000,1713,583.7711617,0.175131349,0,1000,426.509,510,898.5686275,510,403.5215686
